iso3,unattributed,to_code1,to_code2,method,resolved
SOM,3347408.0,3347408.0,0.0,UCDP: state-based conflict active,True
COD,2519915.0,1656802.1183415104,863112.8816584896,within-country ratio,True
GEO,300549.0,0.0,300549.0,UCDP: no recent state-based conflict,True
CMR,159304.0,158062.56233363666,1241.4376663633448,within-country ratio,True
BIH,94790.0,0.0,94790.0,UCDP: no recent state-based conflict,True
NER,14115.0,14115.0,0.0,within-country ratio,True
KEN,7781.0,0.0,7781.0,within-country ratio,True
MOZ,4022.0,4022.0,0.0,within-country ratio,True
ISR,282.0,282.0,0.0,within-country ratio,True
