iso3,location,code_id,lat,lon,people,accuracy,hazard
COL,Santa María,6,4.823,-73.254,32,ADM2,Landslide/Wet mass movement
IDN,Trenggalek,6,-8.049,111.709,32,ADM2,Landslide/Wet mass movement
USA,Bexar,7,29.434,-98.472,32,ADM2,Wildfire
UGA,Bukomansimbi,6,-0.167,31.62,32,ADM3,Storm
MMR,Einme,6,16.764,95.081,32,ADM3,Storm
HND,Copán,6,14.895,-88.926,32,ADM1,Flood
USA,Mount Gay,6,37.847,-82.013,32,ADM3,Storm
BRA,Sapiranga,6,-29.625,-50.977,32,ADM2,Flood
BRA,Itapecerica da Serra,6,-23.742,-46.855,32,ADM2,Storm
COL,Sardinata,6,8.234,-72.82,32,ADM2,Flood
COL,Pueblorrico,6,5.8,-75.85,32,ADM2,Landslide/Wet mass movement
USA,Lashmeet,6,37.421,-81.199,32,ADM3,Storm
COL,Santa Cruz de Mompox,6,9.24,-74.425,32,ADM2,Storm
NGA,Gawa,1,11.853,13.823,32,ADM3,
LKA,Manmunai North DS Division,6,7.731,81.684,32,ADM2,Flood
COL,Líbano,6,4.836,-75.108,32,ADM2,Landslide/Wet mass movement
PER,Cachachi,6,-7.449,-78.269,32,ADM3,Flood
BDI,Mugina,6,-2.753,29.109,32,ADM3,Flood
NGA,Dawo II,6,8.008,11.752,32,ADM3,Flood
NGA,Burashika,1,10.139,11.921,32,ADM3,
NGA,Giza Galadima,1,8.205,8.627,32,ADM3,
GRC,Spaliareika,7,38.109,21.579,32,ADM3,Wildfire
NGA,Mbachohon,2,7.696,8.188,32,ADM3,
NGA,Mayo-Belwa,6,9.054,12.058,32,ADM3,Flood
USA,Crawfordsville,6,35.228,-90.326,32,ADM3,Flood
GRC,Nea Potamia,7,38.519,25.945,32,ADM3,Wildfire
GRC,Anydri,7,35.252,23.719,32,ADM3,Wildfire
VNM,Đầm Dơi District,6,8.964,105.249,31,ADM2,Landslide/Wet mass movement
VNM,Quang Nam Province,6,15.597,107.976,31,ADM1,Storm
ATF,Base Martin de Viviès,7,-37.796,77.572,31,ADM3,Wildfire
JPN,Nagasaki Prefecture,6,33.086,129.217,31,ADM1,Flood
SLV,colon,6,13.626,-87.891,31,ADM2,Flood
CHN,Longsheng,6,25.802,110.008,31,ADM3,Landslide/Wet mass movement
USA,Redfox,6,37.215,-82.944,31,ADM3,Storm
NGA,Galadima Dan Galadima,2,12.553,6.608,31,ADM3,
PER,District of Canoas de Punta Sal,6,-4.012,-80.89,31,ADM3,Flood
PER,District of Matapalo,6,-3.756,-80.252,31,ADM3,Flood
ITA,Catarratti,6,38.196,15.524,31,ADM3,Flood
PER,Cochabamba,6,-6.474,-78.885,31,ADM3,Flood
PER,Pueblo Nuevo,6,-6.628,-79.823,31,ADM3,Flood
NZL,Marlborough,6,-41.474,173.833,31,ADM1,Flood
USA,Mantachie,6,34.324,-88.491,31,ADM3,Storm
CAN,Cole Bay,7,55.083,-108.338,31,ADM3,Wildfire
BDI,Rimbo,6,-4.181,29.558,31,ADM3,Flood
BDI,Mika,6,-2.556,30.445,31,ADM3,Hailstorm
PER,Chungui,6,-13.228,-73.608,31,ADM3,Flood
PER,Coronel Castañeda,6,-14.773,-73.183,31,ADM3,Flood
PER,Chuschi,6,-13.585,-74.352,31,ADM3,Flood
PER,Mariscal Castilla,6,-6.582,-77.77,31,ADM3,Dry mass movement
LKA,Dehiattakandiya,6,7.672,81.041,31,ADM3,Flood
BRA,Nova Mamoré,6,-10.538,-64.494,31,ADM2,Flood
IDN,Bangkalan,6,-7.029,112.747,31,ADM2,Tornado
IDN,Bandar Lampung,6,-5.446,105.264,31,ADM2,Tornado
PER,Nueva Arica,6,-6.874,-79.344,31,ADM3,Flood
IDN,Bolaang,6,0.941,124.156,31,ADM2,Flood
PER,Checca,6,-14.473,-71.394,31,ADM3,Flood
BRA,Ibirité,6,-20.015,-44.077,31,ADM2,Storm
PER,Sanagorán,6,-7.789,-78.139,31,ADM3,Flood
RUS,Shebekino,1,50.409,36.894,31,ADM3,
PER,Cuenca,6,-12.433,-75.039,31,ADM3,Flood
NGA,Ngulde,1,10.648,12.543,31,ADM3,
GTM,San Andrés,6,16.973,-89.915,31,ADM2,Flood
NGA,Runka B,2,12.416,7.191,31,ADM3,
PER,Saurama,6,-13.695,-73.759,31,ADM3,Flood
NGA,Shanawa,2,13.097,6.474,31,ADM3,
GTM,Municipio de Jutiapa,6,14.304,-89.929,31,ADM2,Flood
MEX,Mexico City,7,19.321,-99.152,31,ADM1,Sinkhole
USA,Blackey,6,37.14,-82.979,31,ADM3,Storm
CRI,Cantón San José,6,9.936,-84.092,31,ADM2,Landslide/Wet mass movement
IDN,Pangkalan Balai,6,-2.907,104.414,31,ADM2,Tornado
ARG,Huacalera,6,-23.401,-65.378,30,ADM3,Flood
BRA,Porto Barreiro,6,-25.581,-52.392,30,ADM2,Tornado
BRA,Passa Quatro,6,-22.409,-44.96,30,ADM2,Hailstorm
BRA,Pedra Bonita,6,-20.467,-42.378,30,ADM2,Storm
PER,Huacrachuco,6,-8.604,-77.149,30,ADM3,Flood
BRA,Itapetinga,6,-15.334,-40.086,30,ADM2,Flood
BRA,Machado,6,-21.695,-45.888,30,ADM2,Storm
MEX,Pénjamo,6,20.405,-101.841,30,ADM3,Flood
ECU,Cotopaxi,6,-0.827,-78.894,30,ADM1,Flood
BRA,Maués,6,-5.063,-58.303,30,ADM2,Storm
UKR,Dobropillia Raion,1,48.474,37.272,30,ADM2,
NGA,Konduga,1,11.676,13.411,30,ADM3,
ARG,Calingasta,6,-31.447,-69.882,30,ADM2,Storm
NGA,Jewu / Lamboa,1,11.737,12.759,30,ADM3,
GRC,Spartounda,7,38.545,25.992,30,?,Wildfire
USA,Stanville,6,37.567,-82.642,30,ADM3,Storm
BRA,Baixo Guandu,6,-19.524,-40.964,30,ADM2,Flood
BOL,Municipio Porongo (Ayacucho),6,-17.754,-63.359,30,ADM3,Flood
ARG,Oliveros,6,-32.577,-60.854,30,ADM3,Flood
USA,Winona,6,33.482,-89.728,30,ADM3,Storm
USA,Wisconsin,6,44.898,-89.723,30,ADM1,Storm
BRA,Varzelândia,6,-15.655,-43.92,30,ADM2,Drought
CHE,Tour du Val de Bagnes,6,46.018,7.201,30,?,Landslide/Wet mass movement
GTM,San Pedro Necta,6,15.492,-91.766,30,ADM2,Landslide/Wet mass movement
ARG,Olavarría,6,-36.895,-60.321,30,?,Storm
NGA,Ajign (A),1,11.137,12.209,30,ADM3,
MEX,Cuernavaca,6,18.933,-99.26,30,ADM3,Flood
USA,Boons Camp,6,37.833,-82.701,30,ADM3,Storm
USA,Thorpe,6,37.369,-81.516,30,ADM3,Storm
IDN,Samarinda,6,-0.502,117.139,30,ADM2,Landslide/Wet mass movement
USA,Rowdy,6,37.392,-83.249,30,ADM3,Storm
BRA,Alvorada do Sul,6,-22.809,-51.274,30,ADM2,Hailstorm
KOR,Gyeongju-si,7,35.856,129.234,30,ADM2,Wildfire
PER,Namballe,6,-5.005,-79.088,30,ADM3,Flood
USA,Bryant,6,34.596,-92.488,30,ADM3,Flood
BRA,Claro dos Poções,6,-17.097,-44.233,30,ADM2,Storm
BRA,Presidente Epitácio,6,-21.918,-52.175,30,ADM2,Flood
BRA,Conceição da Barra,6,-18.585,-39.736,30,ADM2,Erosion
BRA,São Sepé,6,-30.16,-53.609,30,ADM2,Storm
BRA,Leópolis,6,-23.025,-50.726,30,ADM2,Hailstorm
USA,Newport,6,35.607,-91.283,30,ADM3,Flood
BRA,Toropi,6,-29.479,-54.293,30,ADM2,Storm
BRA,Marques de Souza,6,-29.273,-52.157,30,ADM2,Landslide/Wet mass movement
BRA,Mandaguaçu,6,-23.264,-52.03,30,ADM2,Hailstorm
GRC,Βιαράδικα,7,36.239,23.003,29,ADM3,Wildfire
GRC,Κιόνια,7,37.866,22.452,29,ADM3,Wildfire
NGA,Gajibo,1,12.11,13.989,29,ADM3,
USA,Wharncliffe,6,37.555,-81.966,29,ADM3,Storm
USA,Corning,6,36.409,-90.583,29,ADM3,Flood
USA,Lackey,6,37.468,-82.829,29,ADM3,Storm
USA,Palmview,6,26.233,-98.371,29,ADM3,Flood
NGA,Lamma,1,8.805,11.809,29,ADM3,
NGA,Kodomti,2,9.454,11.866,29,ADM3,
GHA,Frankadua,6,6.332,0.167,29,ADM3,Flood
BDI,Busaga,6,-3.874,29.436,29,ADM3,Storm
