iso3,conflict,dyad,a,b,code,deaths,events,first,last,adm1s
RWA,Government of Rwanda - Civilians,Government of Rwanda - Civilians,Government of Rwanda,Civilians,4,773042,2185,1990,2024,12
RWA,FPR - Civilians,FPR - Civilians,FPR,Civilians,5,11291,54,1990,1995,8
RWA,Rwanda: Government,Government of Rwanda - FPR,Government of Rwanda,FPR,1,3601,141,1990,1994,8
RWA,Rwanda: Government,Government of Rwanda - ALiR,Government of Rwanda,ALiR,1,2204,92,1996,1998,9
RWA,Rwanda: Government,Government of Rwanda - FDLR-FOCA,Government of Rwanda,FDLR-FOCA,1,2087,28,2001,2018,6
RWA,ALiR - Civilians,ALiR - Civilians,ALiR,Civilians,5,1713,74,1996,1999,7
SAU,Yemen (North Yemen): Government,Government of Yemen (North Yemen) - Forces of the Presidential Leadership Council,Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,1,282,95,2015,2025,4
SAU,United States of America: Government,Government of United States of America - al-Qaida,Government of United States of America,al-Qaida,1,102,53,2004,2007,5
SAU,Iraq - Kuwait,Government of Iraq - Government of Kuwait,Government of Iraq,Government of Kuwait,1,91,4,1991,1991,2
SAU,al-Qaida  - Civilians,al-Qaida  - Civilians,al-Qaida,Civilians,5,59,12,2003,2007,4
SAU,IS - Civilians,IS - Civilians,IS,Civilians,5,37,7,2015,2016,4
SDN,SFA - Civilians,SFA - Civilians,SFA,Civilians,5,61973,143,2025,2025,11
SDN,Sudan: Government,Government of Sudan - SPLM/A,Government of Sudan,SPLM/A,1,31228,406,1989,2004,27
SDN,Sudan: Government,Government of Sudan - RSF,Government of Sudan,RSF,1,18326,827,2023,2025,16
SDN,Government of Sudan - Civilians,Government of Sudan - Civilians,Government of Sudan,Civilians,4,15832,1049,1989,2025,37
SDN,Sudan: Government,Government of Sudan - SFA,Government of Sudan,SFA,1,10253,424,2025,2025,14
SDN,Sudan: Government,Government of Sudan - SLM/A,Government of Sudan,SLM/A,1,5227,190,2003,2022,7
SEN,Senegal: Casamance,Government of Senegal - MFDC,Government of Senegal,MFDC,1,1447,151,1990,2021,4
SEN,MFDC - Civilians,MFDC - Civilians,MFDC,Civilians,5,320,95,1990,2018,3
SEN,Mauritanian - Senegalese,Mauritanian - Senegalese,Mauritanian,Senegalese,2,126,12,1989,1998,4
SEN,MFDC Front Nord - MD - MFDC - S,MFDC Front Nord - MD - MFDC - S,MFDC Front Nord - MD,MFDC - S,2,124,2,2006,2006,1
SEN,Government of Senegal - Civilians,Government of Senegal - Civilians,Government of Senegal,Civilians,4,80,28,1990,2018,4
SEN,Government of Gambia - Civilians,Government of Gambia - Civilians,Government of Gambia,Civilians,4,45,1,2005,2005,1
SLE,RUF - Civilians,RUF - Civilians,RUF,Civilians,5,5954,533,1991,2001,3
SLE,Sierra Leone: Government,Government of Sierra Leone - RUF,Government of Sierra Leone,RUF,1,5559,410,1991,2001,4
SLE,Sierra Leone: Government,Government of Sierra Leone - AFRC,Government of Sierra Leone,AFRC,1,4839,145,1997,1999,4
SLE,AFRC - Civilians,AFRC - Civilians,AFRC,Civilians,5,2067,164,1998,2000,4
SLE,Sierra Leone: Government,Government of Sierra Leone - Kamajors,Government of Sierra Leone,Kamajors,1,1043,73,1997,1998,4
SLE,Government of Sierra Leone - Civilians,Government of Sierra Leone - Civilians,Government of Sierra Leone,Civilians,4,653,119,1991,2021,4
SLV,El Salvador: Government,Government of El Salvador - FMLN,Government of El Salvador,FMLN,1,5865,115,1989,1992,12
SLV,MS-13 - Civilians,MS-13 - Civilians,MS-13,Civilians,5,112,81,2009,2022,13
SLV,La Raza - M18,La Raza - M18,La Raza,M18,2,34,1,2004,2004,1
SLV,M18 - Civilians,M18 - Civilians,M18,Civilians,5,34,7,2009,2017,2
SLV,M18 - MS-13,M18 - MS-13,M18,MS-13,2,28,9,2004,2021,2
SOM,Somalia: Government,Government of Somalia - Al-Shabaab,Government of Somalia,Al-Shabaab,1,36435,5034,2008,2025,17
SOM,Somalia: Government,Government of Somalia - USC/SNA,Government of Somalia,USC/SNA,1,5776,92,1991,1996,5
SOM,Somalia: Government,Government of Somalia - USC/SSA,Government of Somalia,USC/SSA,1,4456,12,1990,1991,3
SOM,Republic of Somaliland - SNM - 'Calan cas',Republic of Somaliland - SNM - 'Calan cas',Republic of Somaliland,SNM - 'Calan cas',2,2500,2,1992,1992,2
SOM,Somalia: Government,Government of Somalia - ARS/UIC,Government of Somalia,ARS/UIC,1,2312,336,2006,2009,10
SOM,Somalia: Government,Government of Somalia - SNM,Government of Somalia,SNM,1,1813,62,1989,1991,9
SRB,Serbia (Yugoslavia): Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,1,3086,229,1991,1992,5
SRB,Serbia (Yugoslavia): Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,1,2622,461,1996,1999,15
SRB,Republic of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Republic of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Republic of Bosnia-Herzegovina,Serbian Republic of Bosnia-Herzegovina,2,1090,162,1992,1992,2
SRB,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,4,989,104,1991,1999,3
SRB,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia - Serbian Republic of Krajina,Republic of Croatia,Serbian Republic of Krajina,2,523,134,1992,1992,2
SRB,Republic of Croatia - SAO Krajina,Republic of Croatia - SAO Krajina,Republic of Croatia,SAO Krajina,2,189,41,1991,1991,1
SSD,South Sudan: Government,Government of South Sudan - SPLM/A - IO,Government of South Sudan,SPLM/A - IO,1,5048,320,2013,2025,10
SSD,Government of South Sudan - Civilians,Government of South Sudan - Civilians,Government of South Sudan,Civilians,4,2133,305,2012,2025,9
SSD,Lou Nuer - Murle,Lou Nuer - Murle,Lou Nuer,Murle,2,1710,34,2011,2025,1
SSD,SPLM/A - IO - Civilians,SPLM/A - IO - Civilians,SPLM/A - IO,Civilians,5,814,66,2013,2025,9
SSD,Luac Jang Dinka - Pakam Dinka,Luac Jang Dinka - Pakam Dinka,Luac Jang Dinka,Pakam Dinka,2,550,6,2018,2024,2
SSD,Bor Dinka - Murle,Bor Dinka - Murle,Bor Dinka,Murle,2,411,28,2011,2024,1
SWZ,Government of eSwatini (Swaziland) - Civilians,Government of eSwatini (Swaziland) - Civilians,Government of eSwatini (Swaziland),Civilians,4,57,21,2019,2025,4
SYR,Syria: Government,Government of Syria - Syrian insurgents,Government of Syria,Syrian insurgents,1,287365,66173,2011,2024,14
SYR,Syria: Islamic State,Government of Syria - IS,Government of Syria,IS,1,50054,6704,2013,2025,14
SYR,IS - SDF,IS - SDF,IS,SDF,2,20922,3915,2015,2025,8
SYR,Government of Syria - Civilians,Government of Syria - Civilians,Government of Syria,Civilians,4,11570,2272,2004,2025,14
SYR,IS - Civilians,IS - Civilians,IS,Civilians,5,5849,1389,2013,2025,13
SYR,SNA - SDF,SNA - SDF,SNA,SDF,2,3288,830,2018,2025,4
TCD,Chad: Government,Government of Chad - MDJT,Government of Chad,MDJT,1,1940,35,1999,2003,6
TCD,Government of Chad - Civilians,Government of Chad - Civilians,Government of Chad,Civilians,4,1004,75,1990,2024,13
TCD,Chad: Government,Government of Chad - FUCD,Government of Chad,FUCD,1,1000,13,2005,2007,4
TCD,Chad: Government,Government of Chad - AN,Government of Chad,AN,1,991,12,2008,2008,4
TCD,Chad: Government,Government of Chad - MDD,Government of Chad,MDD,1,836,19,1991,1997,1
TCD,Chad: Islamic State,Government of Chad - IS,Government of Chad,IS,1,833,68,2015,2024,2
TGO,Government of Togo - Civilians,Government of Togo - Civilians,Government of Togo,Civilians,4,531,106,1991,2019,4
TGO,Togo: Government,Government of Togo - JNIM,Government of Togo,JNIM,1,178,31,2022,2025,1
TGO,JNIM - Civilians,JNIM - Civilians,JNIM,Civilians,5,97,17,2022,2024,1
TGO,Moba - Chakosi,Moba - Chakosi,Moba,Chakosi,2,31,1,1991,1991,1
THA,Thailand: Patani,Government of Thailand - Patani insurgents,Government of Thailand,Patani insurgents,1,2133,1367,2003,2025,4
THA,Patani insurgents - Civilians,Patani insurgents - Civilians,Patani insurgents,Civilians,5,1951,1459,1992,2025,4
THA,Cambodia (Kampuchea) - Thailand,Government of Cambodia (Kampuchea) - Government of Thailand,Government of Cambodia (Kampuchea),Government of Thailand,1,112,57,1995,2025,5
THA,Myanmar (Burma): Karen,Government of Myanmar (Burma) - KNU,Government of Myanmar (Burma),KNU,1,72,7,1990,2010,2
THA,Myanmar (Burma): Shan,Government of Myanmar (Burma) - RCSS,Government of Myanmar (Burma),RCSS,1,25,2,2001,2002,1
TJK,Tajikistan: Government,Government of Tajikistan - UTO,Government of Tajikistan,UTO,1,7588,194,1992,1998,4
TJK,Tajikistan: Government,Government of Tajikistan - Forces of Khudoberdiyev,Government of Tajikistan,Forces of Khudoberdiyev,1,605,20,1997,1999,4
TJK,Tajikistan: Government,Government of Tajikistan - PFT,Government of Tajikistan,PFT,1,419,16,1992,1992,2
TJK,PFT - UTO,PFT - UTO,PFT,UTO,2,408,6,1992,1992,1
TJK,Tajikistan: Government,Government of Tajikistan - IMU,Government of Tajikistan,IMU,1,123,36,2005,2013,5
TJK,Kyrgyzstan - Tajikistan,Government of Kyrgyzstan - Government of Tajikistan,Government of Kyrgyzstan,Government of Tajikistan,1,110,34,2014,2022,2
TTO,Trinidad and Tobago: Government,Government of Trinidad and Tobago - Jamaat al-Muslimeen,Government of Trinidad and Tobago,Jamaat al-Muslimeen,1,39,3,1990,1990,1
TUN,Tunisia: Government,Government of Tunisia - AQIM,Government of Tunisia,AQIM,1,170,70,2011,2023,8
TUN,Tunisia: Islamic State,Government of Tunisia - IS,Government of Tunisia,IS,1,104,16,2015,2022,4
TUN,Tunisia: Government,Government of Tunisia - JAK-T,Government of Tunisia,JAK-T,1,77,33,2014,2021,6
TUN,IS - Civilians,IS - Civilians,IS,Civilians,5,59,2,2015,2015,2
TUR,Turkey: Kurdistan,Government of Turkey - PKK,Government of Turkey,PKK,1,29907,6613,1989,2025,50
TUR,PKK - Civilians,PKK - Civilians,PKK,Civilians,5,1339,387,1989,2024,31
TUR,IS - Civilians,IS - Civilians,IS,Civilians,5,288,10,2015,2024,6
TUR,Turkey: Government,Government of Turkey - Yurtta Sulh Konseyi,Government of Turkey,Yurtta Sulh Konseyi,1,274,3,2016,2016,3
TUR,Turkey: Government,Government of Turkey - DHKP-C,Government of Turkey,DHKP-C,1,233,91,1990,2024,13
TUR,Turkey: Government,Government of Turkey - TKP-ML,Government of Turkey,TKP-ML,1,193,77,1990,2020,12
TZA,Government of Tanzania - Civilians,Government of Tanzania - Civilians,Government of Tanzania,Civilians,4,1088,93,1992,2025,18
TZA,Tanzania: Islamic State,Government of Tanzania - IS,Government of Tanzania,IS,1,41,7,2020,2022,2
UGA,Uganda: Government,Government of Uganda - LRA,Government of Uganda,LRA,1,7065,823,1989,2007,12
UGA,LRA - Civilians,LRA - Civilians,LRA,Civilians,5,3936,379,1989,2007,15
UGA,Uganda: Government,Government of Uganda - ADF,Government of Uganda,ADF,1,1550,140,1996,2007,11
UGA,Uganda: Government,Government of Uganda - UPA,Government of Uganda,UPA,1,1107,24,1989,1994,5
UGA,ADF - Civilians,ADF - Civilians,ADF,Civilians,5,703,111,1996,2007,8
UGA,Bokora Karimojong - Matheniko Karimojong,Bokora Karimojong - Matheniko Karimojong,Bokora Karimojong,Matheniko Karimojong,2,389,14,1992,2004,2
UKR,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,1,357650,36581,2014,2025,27
UKR,Ukraine: Novorossiya,Government of Ukraine - United Armed Forces of Novorossiya,Government of Ukraine,United Armed Forces of Novorossiya,1,2864,878,2014,2015,2
UKR,Ukraine: Donetsk,Government of Ukraine - DPR,Government of Ukraine,DPR,1,2277,663,2014,2014,3
UKR,Ukraine: Novorossiya,Government of Ukraine - DPR,Government of Ukraine,DPR,1,2115,1391,2015,2022,3
UKR,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,4,1484,236,2022,2025,10
UKR,Ukraine: Lugansk,Government of Ukraine - LPR,Government of Ukraine,LPR,1,1071,293,2014,2014,1
USA,al-Qaida  - Civilians,al-Qaida  - Civilians,al-Qaida,Civilians,5,2753,1,2001,2001,1
USA,United States of America: Government,Government of United States of America - al-Qaida,Government of United States of America,al-Qaida,1,233,2,2001,2001,2
UZB,Uzbekistan: Government,Government of Uzbekistan - IMU,Government of Uzbekistan,IMU,1,347,22,1999,2000,6
UZB,Uzbekistan: Government,Government of Uzbekistan - JIG,Government of Uzbekistan,JIG,1,53,10,2004,2009,2
VEN,Government of Venezuela - Civilians,Government of Venezuela - Civilians,Government of Venezuela,Civilians,4,1161,1449,1989,2025,25
VEN,Venezuela: Government,Government of Venezuela - Military faction (forces of Hugo Chávez),Government of Venezuela,Military faction (forces of Hugo Chávez),1,144,4,1992,1992,1
VEN,Sabaneta - Pavilion I gang - Sabaneta - Re-education sector gang,Sabaneta - Pavilion I gang - Sabaneta - Re-education sector gang,Sabaneta - Pavilion I gang,Sabaneta - Re-education sector gang,2,127,1,1994,1994,1
VEN,El Dorado long-term inmates - Former Sabaneta inmates,El Dorado long-term inmates - Former Sabaneta inmates,El Dorado long-term inmates,Former Sabaneta inmates,2,30,2,1997,1997,1
VEN,ELN - Civilians,ELN - Civilians,ELN,Civilians,5,28,13,1995,2023,3
VEN,Yare I - The Towers sector gang  - Yare I - The Workshop sector gang,Yare I - The Towers sector gang  - Yare I - The Workshop sector gang,Yare I - The Towers sector gang,Yare I - The Workshop sector gang,2,25,1,2012,2012,1
YEM,Yemen (North Yemen): Government,Government of Yemen (North Yemen) - Forces of the Presidential Leadership Council,Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,1,55041,3805,2015,2025,20
YEM,Yemen (North Yemen): Government,Government of Yemen (North Yemen) - AQAP,Government of Yemen (North Yemen),AQAP,1,6038,963,2009,2022,20
YEM,Yemen (North Yemen): Government,Government of Yemen (North Yemen) - Ansarallah,Government of Yemen (North Yemen),Ansarallah,1,2750,195,2008,2015,8
YEM,AQAP - Forces of the Presidential Leadership Council,AQAP - Forces of the Presidential Leadership Council,AQAP,Forces of the Presidential Leadership Council,2,2116,488,2015,2025,11
YEM,Yemen (North Yemen): South Yemen,Government of Yemen (North Yemen) - Democratic Republic of Yemen,Government of Yemen (North Yemen),Democratic Republic of Yemen,1,1489,72,1994,1994,10
YEM,Ansarallah - Islah,Ansarallah - Islah,Ansarallah,Islah,2,930,29,2009,2013,4
ZAF,Supporters of ANC - Supporters of IFP,Supporters of ANC - Supporters of IFP,Supporters of ANC,Supporters of IFP,2,3466,1912,1989,2016,8
ZAF,Supporters of IFP - Supporters of UDF,Supporters of IFP - Supporters of UDF,Supporters of IFP,Supporters of UDF,2,479,207,1989,1993,2
ZAF,Government of South Africa - Civilians,Government of South Africa - Civilians,Government of South Africa,Civilians,4,450,397,1989,2024,22
ZAF,South Africa: Namibia,Government of South Africa - SWAPO,Government of South Africa,SWAPO,1,361,57,1989,1989,1
ZAF,CATA  - Codeta,CATA  - Codeta,CATA,Codeta,2,287,83,1994,2025,1
ZAF,IFP - Civilians,IFP - Civilians,IFP,Civilians,5,97,73,1989,1994,3
ZMB,Renamo - Civilians,Renamo - Civilians,Renamo,Civilians,5,128,35,1989,1990,1
ZWE,Government of Zimbabwe (Rhodesia) - Civilians,Government of Zimbabwe (Rhodesia) - Civilians,Government of Zimbabwe (Rhodesia),Civilians,4,275,62,1995,2020,9
ZWE,Renamo - Civilians,Renamo - Civilians,Renamo,Civilians,5,53,9,1989,1990,2
