iso3,conflict,dyad,a,b,code,deaths,events,first,last,adm1s
IRQ,"Australia, United Kingdom, United States - Iraq","Government of Australia, Government of United Kingdom, Government of United States of America - Government of Iraq","Government of Australia, Government of United Kingdom, Government of United States of America",Government of Iraq,1,7927,95,2003,2003,12
IRQ,Turkey: Kurdistan,Government of Turkey - PKK,Government of Turkey,PKK,1,6262,1652,1991,2025,8
IRQ,Government of Iraq - Civilians,Government of Iraq - Civilians,Government of Iraq,Civilians,4,3067,163,1990,2025,20
ISR,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,1,66617,8955,1989,2025,8
ISR,Israel: Palestine,Government of Israel - PIJ,Government of Israel,PIJ,1,2208,832,1990,2025,8
ISR,Hamas - Civilians,Hamas - Civilians,Hamas,Civilians,5,1188,145,1990,2023,8
ISR,Israel: Palestine,Government of Israel - Fatah,Government of Israel,Fatah,1,585,336,1989,2025,6
ISR,Government of Israel - Civilians,Government of Israel - Civilians,Government of Israel,Civilians,4,449,437,1989,2025,5
ISR,Israel: Palestine,Government of Israel - PNA,Government of Israel,PNA,1,346,166,1995,2025,4
JAM,Supporters of JLP - Supporters of PNP,Supporters of JLP - Supporters of PNP,Supporters of JLP,Supporters of PNP,2,144,29,1989,2002,2
JAM,King Valley Gang - Ants Posse Gang,King Valley Gang - Ants Posse Gang,King Valley Gang,Ants Posse Gang,2,51,5,2024,2024,1
JOR,IS - Civilians,IS - Civilians,IS,Civilians,5,59,1,2005,2005,1
JOR,Jordan: Islamic State,Government of Jordan - IS,Government of Jordan,IS,1,34,4,2016,2016,3
KEN,Kenya: Northeastern Province and Coast,Government of Kenya - Al-Shabaab,Government of Kenya,Al-Shabaab,1,838,298,2015,2025,11
KEN,Pokot - Turkana,Pokot - Turkana,Pokot,Turkana,2,714,114,1995,2021,5
KEN,Al-Shabaab - Civilians,Al-Shabaab - Civilians,Al-Shabaab,Civilians,5,592,103,2011,2025,11
