iso3,adm_1,code_id,events,deaths,lat,lon,conflicts,share
AFG,Hirat province,2,46,620,33.491285652173914,62.213137152173914,Forces of Amanullah Khan  - Forces of Arbab Basir; Forces of Amanullah Khan  - Forces of Ismail Khan; Hizb-i Islami-yi Afghanistan - Jam'iyyat-i Islami-yi Afghanistan,0.06790799561883899
AFG,Hirat province,4,12,8,34.21839091666667,62.126011500000004,Government of Afghanistan - Civilians,0.0008762322015334064
AFG,Hirat province,5,89,259,34.1954803258427,62.17364980898876,IS - Civilians; Taleban - Civilians,0.028368017524644032
AFG,Jawzjan province,1,637,6721,36.630071541601254,65.83949284144427,Afghanistan: Government; Afghanistan: Islamic State,0.903117441547971
AFG,Jawzjan province,2,35,473,36.122627085714285,65.43530562857143,IS - Taleban; Jam'iyyat-i Islami-yi Afghanistan - Junbish-i Milli-yi Islami,0.06355818328406343
AFG,Jawzjan province,4,8,1,36.66315625,65.83731725,Government of Afghanistan - Civilians,0.0001343724805159903
AFG,Jawzjan province,5,35,247,36.50794222857143,65.82354042857143,IS - Civilians; Taleban - Civilians; UIFSA - Civilians,0.03319000268744961
AFG,Kabul province,1,1577,24220,34.538134674698796,69.19967738681041,"Afghanistan - United Kingdom, United States of America; Afghanistan: Government; Afghanistan: Islamic State",0.9424857965600436
AFG,Kabul province,2,11,167,34.51580118181818,69.16681763636365,Hizb-i Islami-yi Afghanistan - Hizb-i Wahdat; Hizb-i Islami-yi Afghanistan - Jam'iyyat-i Islami-yi Afghanistan; Hizb-i Islami-yi Afghanistan - Junbish-i Milli-yi Islami,0.006498560199237295
AFG,Kabul province,4,52,67,34.5366214423077,69.17731455769231,Government of Afghanistan - Civilians,0.002607206786520352
AFG,Kabul province,5,134,1244,34.53539102985075,69.15680745522388,IS - Civilians; Taleban - Civilians,0.04840843645419877
AFG,Kandahar province,1,3639,24526,31.490865480626546,65.66532863561417,"Afghanistan - Pakistan; Afghanistan - United Kingdom, United States of America; Afghanistan: Government",0.97904275278432
AFG,Kandahar province,2,5,66,31.123350199999997,66.2152296,Hizb-i Islami-yi Afghanistan - Taleban; Taleban - High Council of Afghanistan Islamic Emirate,0.0026346253642569157
AFG,Kandahar province,4,12,7,31.647896000000003,65.73864691666667,Government of Afghanistan - Civilians,0.0002794299628757335
AFG,Kandahar province,5,141,452,31.50418231914894,65.70913124822695,IS - Civilians; Taleban - Civilians,0.018043191888547364
AFG,Kapisa province,1,598,3468,34.93378180936455,69.61907543311037,"Afghanistan - United Kingdom, United States of America; Afghanistan: Government; Afghanistan: Islamic State",0.9936962750716333
AFG,Kapisa province,2,2,4,35.0211215,69.6083485,Hizb-i Islami-yi Afghanistan - Jam'iyyat-i Islami-yi Afghanistan; Hizb-i Islami-yi Afghanistan - Taleban,0.001146131805157593
AFG,Kapisa province,4,6,4,35.04654766666667,69.3954415,Government of Afghanistan - Civilians,0.001146131805157593
AFG,Kapisa province,5,12,14,34.935617416666666,69.55221841666666,Taleban - Civilians,0.0040114613180515755
AFG,Khost province,1,846,3711,33.39490671394799,69.88933084042553,Afghanistan - Pakistan; Afghanistan: Government; Afghanistan: Islamic State,0.9742714623260699
AFG,Khost province,4,16,27,33.361044625,69.9438059375,Government of Afghanistan - Civilians,0.007088474665266474
AFG,Khost province,5,55,71,33.388105745454546,69.89661330909091,IS - Civilians; Taleban - Civilians,0.01864006300866369
AFG,Kunar province,1,1123,6402,34.94733465805877,71.1155886251113,Afghanistan - Pakistan; Afghanistan: Government; Afghanistan: Islamic State,0.9621280432822362
AFG,Kunar province,2,20,164,34.92471125,70.89936270000001,Hizb-i Islami-yi Afghanistan - Jamiat-ul-Dawa; IS - Taleban; Taleban - High Council of Afghanistan Islamic Emirate,0.0246468289750526
AFG,Kunar province,4,8,7,34.94113425,71.120784625,Government of Afghanistan - Civilians,0.0010519987977156598
AFG,Kunar province,5,44,81,34.92959077272727,71.06849836363637,IS - Civilians; Taleban - Civilians,0.012173128944995492
AFG,Kunduz province,1,1813,14244,36.820169946497515,68.8698720612245,"Afghanistan - United Kingdom, United States of America; Afghanistan: Government; Afghanistan: Islamic State",0.9586109428629114
AFG,Kunduz province,2,7,142,36.76099128571429,68.77103257142858,Hizb-i Islami-yi Afghanistan - Jam'iyyat-i Islami-yi Afghanistan; IS - Taleban; Jam'iyyat-i Islami-yi Afghanistan - Junbish-i Milli-yi Islami,0.009556497745474124
AFG,Kunduz province,4,12,249,36.7796385,68.80770141666666,Government of Afghanistan - Civilians,0.016757520694528568
AFG,Kunduz province,5,33,224,36.847815636363634,68.89660721212121,IS - Civilians; Taleban - Civilians,0.015075038697085942
AFG,Laghman province,1,735,3903,34.766302891156464,70.18830962176871,"Afghanistan - United Kingdom, United States of America; Afghanistan: Government; Afghanistan: Islamic State",0.9938884644766998
AFG,Laghman province,2,1,1,34.783333,70.183333,Hizb-i Islami-yi Afghanistan - Jam'iyyat-i Islami-yi Afghanistan,0.00025464731347084286
AFG,Laghman province,4,4,2,34.7074805,70.2472805,Government of Afghanistan - Civilians,0.0005092946269416857
